Time (secs), Frame Number, Setpoint (deg C), TC Temperature (deg C), PRT Temperature (deg C), Coolant Flowrate (L/min), Video Fault Flag
0.816, 0, 0.0, 14.276, 14.217, 5.2, 
1.816, 1, 0.0, 12.376, 12.296, 5.2, 
2.816, 2, 0.0, 10.509, 10.443, 5.2, 
3.816, 3, 0.0, 8.706, 8.725, 5.2, 
4.816, 4, 0.0, 7.14, 7.177, 5.2, 
5.816, 5, 0.0, 5.786, 5.765, 5.2, 
6.816, 6, 0.0, 4.59, 4.621, 5.2, 
7.816, 7, 0.0, 3.596, 3.613, 5.333, 
8.816, 8, 0.0, 2.762, 2.84, 5.2, 
9.816, 9, 0.0, 2.128, 2.201, 5.2, 
10.816, 10, 0.0, 1.548, 1.664, 5.067, 
11.816, 11, 0.0, 1.144, 1.261, 5.2, 
12.816, 12, 0.0, 0.807, 0.891, 5.2, 
13.816, 13, 0.0, 0.51, 0.622, 5.2, 
14.816, 14, 0.0, 0.334, 0.454, 5.2, 
15.816, 15, 0.0, 0.173, 0.287, 5.2, 
16.816, 16, -0.033, 0.064, 0.152, 5.2, 
17.816, 17, -0.117, -0.044, 0.085, 5.2, 
18.816, 18, -0.2, -0.125, -0.017, 5.2, 
19.816, 19, -0.283, -0.247, -0.117, 5.2, 
20.816, 20, -0.367, -0.328, -0.218, 5.067, 
21.816, 21, -0.45, -0.422, -0.319, 5.2, 
22.816, 22, -0.533, -0.504, -0.386, 5.333, 
23.816, 23, -0.617, -0.598, -0.487, 5.067, 
24.817, 24, -0.7, -0.665, -0.587, 5.2, 
25.816, 25, -0.783, -0.76, -0.655, 5.2, 
26.816, 26, -0.867, -0.828, -0.722, 5.2, 
27.816, 27, -0.95, -0.922, -0.789, 5.2, 
28.816, 28, -1.033, -0.977, -0.856, 5.2, 
29.816, 29, -1.117, -1.044, -0.957, 5.2, 
30.816, 30, -1.2, -1.139, -1.024, 5.2, 
31.816, 31, -1.283, -1.233, -1.124, 5.2, 
32.816, 32, -1.367, -1.301, -1.192, 5.2, 
33.816, 33, -1.45, -1.355, -1.259, 5.2, 
34.816, 34, -1.533, -1.464, -1.359, 5.067, 
35.816, 35, -1.617, -1.545, -1.427, 5.333, 
36.816, 36, -1.7, -1.612, -1.494, 5.067, 
37.816, 37, -1.783, -1.707, -1.594, 5.2, 
38.817, 38, -1.867, -1.789, -1.661, 5.2, 
39.817, 39, -1.95, -1.857, -1.762, 5.2, 
40.816, 40, -2.033, -1.924, -1.796, 5.333, 
41.819, 41, -2.117, -2.005, -1.896, 5.2, 
42.816, 42, -2.2, -2.101, -1.997, 5.067, 
43.816, 43, -2.283, -2.195, -2.064, 5.333, 
44.816, 44, -2.367, -2.276, -2.165, 5.2, 
45.816, 45, -2.45, -2.372, -2.265, 5.2, 
46.816, 46, -2.533, -2.439, -2.333, 5.2, 
47.817, 47, -2.617, -2.534, -2.4, 5.2, 
48.817, 48, -2.7, -2.588, -2.5, 5.2, 
49.816, 49, -2.783, -2.696, -2.601, 5.333, 
50.816, 50, -2.867, -2.777, -2.668, 5.067, 
51.816, 51, -2.95, -2.846, -2.769, 5.2, 
52.816, 52, -3.033, -2.941, -2.836, 5.2, 
53.816, 53, -3.117, -3.036, -2.903, 5.2, 
54.816, 54, -3.2, -3.103, -3.004, 5.2, 
55.816, 55, -3.283, -3.185, -3.071, 5.2, 
56.816, 56, -3.367, -3.28, -3.171, 5.2, 
57.816, 57, -3.45, -3.347, -3.238, 5.2, 
58.816, 58, -3.533, -3.43, -3.339, 5.2, 
59.816, 59, -3.617, -3.497, -3.44, 5.2, 
60.817, 60, -3.7, -3.592, -3.507, 5.2, 
61.816, 61, -3.783, -3.687, -3.574, 5.2, 
62.816, 62, -3.867, -3.782, -3.641, 5.2, 
63.816, 63, -3.95, -3.892, -3.742, 5.2, 
64.816, 64, -4.033, -3.959, -3.842, 5.2, 
65.818, 65, -4.117, -4.027, -3.909, 5.2, 
66.816, 66, -4.2, -4.108, -4.01, 5.2, 
67.816, 67, -4.283, -4.176, -4.077, 5.2, 
68.816, 68, -4.367, -4.272, -4.178, 5.2, 
69.816, 69, -4.45, -4.339, -4.278, 5.2, 
70.816, 70, -4.533, -4.448, -4.345, 5.2, 
71.816, 71, -4.617, -4.53, -4.412, 5.333, 
72.816, 72, -4.7, -4.611, -4.513, 5.2, 
73.819, 73, -4.783, -4.679, -4.58, 5.2, 
74.816, 74, -4.867, -4.761, -4.68, 5.2, 
75.816, 75, -4.95, -4.87, -4.748, 5.2, 
76.816, 76, -5.033, -4.938, -4.848, 5.2, 
77.816, 77, -5.117, -5.02, -4.949, 5.333, 
78.817, 78, -5.2, -5.115, -5.016, 5.2, 
79.816, 79, -5.283, -5.196, -5.116, 5.2, 
80.818, 80, -5.367, -5.278, -5.15, 5.2, 
81.816, 81, -5.45, -5.374, -5.25, 5.333, 
82.816, 82, -5.533, -5.455, -5.351, 5.2, 
83.818, 83, -5.617, -5.537, -5.385, 5.2, 
84.816, 84, -5.7, -5.619, -5.519, 5.2, 
85.816, 85, -5.783, -5.688, -5.586, 5.2, 
86.819, 86, -5.867, -5.755, -5.653, 5.2, 
87.816, 87, -5.95, -5.85, -5.753, 5.2, 
88.816, 88, -6.033, -5.933, -5.854, 5.2, 
89.816, 89, -6.117, -6.028, -5.921, 5.2, 
90.816, 90, -6.2, -6.124, -5.988, 5.2, 
91.816, 91, -6.283, -6.206, -6.088, 5.2, 
92.816, 92, -6.367, -6.286, -6.189, 5.2, 
93.816, 93, -6.45, -6.368, -6.256, 5.2, 
94.816, 94, -6.533, -6.451, -6.357, 5.2, 
95.816, 95, -6.617, -6.492, -6.457, 5.333, 
96.816, 96, -6.7, -6.642, -6.524, 5.2, 
97.816, 97, -6.783, -6.71, -6.558, 5.333, 
98.816, 98, -6.867, -6.779, -6.658, 5.2, 
99.816, 99, -6.95, -6.847, -6.792, 5.2, 
100.816, 100, -7.033, -6.929, -6.859, 5.2, 
101.816, 101, -7.117, -7.024, -6.926, 5.2, 
102.816, 102, -7.2, -7.107, -7.027, 5.2, 
103.816, 103, -7.283, -7.202, -7.127, 5.333, 
104.816, 104, -7.367, -7.298, -7.194, 5.2, 
105.816, 105, -7.45, -7.379, -7.261, 5.2, 
106.816, 106, -7.533, -7.461, -7.362, 5.333, 
107.816, 107, -7.617, -7.53, -7.429, 5.2, 
108.816, 108, -7.7, -7.612, -7.529, 5.2, 
109.816, 109, -7.783, -7.681, -7.596, 5.2, 
110.817, 110, -7.867, -7.763, -7.697, 5.2, 
